Id_comercio,periodo_fecha,Categoria_comercio,Ciudad,segmento_final_nombre,cantidad transacciones,ticket_promedio,monto_estimado_mes,comision_estimada_mes
1KDUK7LEUV,2021-01-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,9,356129.87012987013,3205168.8311688313,160258.44155844158
1KDUK7LEUV,2020-12-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,356129.87012987013,1424519.4805194805,71225.97402597404
1KDUK7LEUV,2021-02-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,11,356129.87012987013,3917428.5714285714,195871.42857142858
1KDUK7LEUV,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,19,356129.87012987013,6766467.532467533,338323.3766233767
1KDUK7LEUV,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,13,356129.87012987013,4629688.311688311,231484.41558441558
1KDUK7LEUV,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,21,356129.87012987013,7478727.2727272725,373936.36363636365
1KN3L6Z878,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,11,309979.66101694916,3409776.2711864407,170488.81355932204
1KN3L6Z878,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,20,309979.66101694916,6199593.220338983,309979.66101694916
1KN3L6Z878,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,28,309979.66101694916,8679430.508474577,433971.52542372886
1KQ92VPKRS,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,6,139436.36363636365,836618.1818181819,41830.909090909096
1KQ92VPKRS,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,139436.36363636365,139436.36363636365,6971.818181818183
1KQ92VPKRS,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,139436.36363636365,557745.4545454546,27887.27272727273
1KWDUSX8BR,2021-02-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,208769.23076923078,417538.46153846156,20876.923076923078
1KWDUSX8BR,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,8,208769.23076923078,1670153.8461538462,83507.69230769231
1KWDUSX8BR,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,208769.23076923078,626307.6923076924,31315.38461538462
1L0O3IFQRZ,2021-03-01,Reparación y limpieza,Bogotá D.C.,Valor medio,1,26000.0,26000.0,1300.0
1L0O3IFQRZ,2021-04-01,Reparación y limpieza,Bogotá D.C.,Valor medio,1,26000.0,26000.0,1300.0
1L2TFG5YLT,2021-01-01,Comercio detallista,Soacha,Valor medio-alto,8,117895.41284403669,943163.3027522935,47158.16513761468
1L2TFG5YLT,2021-02-01,Comercio detallista,Soacha,Valor medio-alto,27,117895.41284403669,3183176.1467889906,159158.80733944953
1L2TFG5YLT,2021-03-01,Comercio detallista,Soacha,Valor medio-alto,33,117895.41284403669,3890548.623853211,194527.43119266056
1L2TFG5YLT,2021-04-01,Comercio detallista,Soacha,Valor medio-alto,21,117895.41284403669,2475803.6697247704,123790.18348623853
1L2TFG5YLT,2021-05-01,Comercio detallista,Soacha,Valor medio-alto,20,117895.41284403669,2357908.2568807337,117895.41284403669
1L2XH0PNHH,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,10,166230.76923076922,1662307.6923076923,83115.38461538462
1L2XH0PNHH,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,166230.76923076922,498692.30769230763,24934.615384615383
1L2XH0PNHH,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,13,166230.76923076922,2161000.0,108050.0
1L48T9NLTX,2021-03-01,Comercio detallista,Mosquera,Valor medio-alto,1,30000.0,30000.0,1500.0
1L48T9NLTX,2021-04-01,Comercio detallista,Mosquera,Valor medio-alto,2,30000.0,60000.0,3000.0
1L48T9NLTX,2021-05-01,Comercio detallista,Mosquera,Valor medio-alto,4,30000.0,120000.0,6000.0
1L6S9K57EG,2021-02-01,Servicios,Bogotá D.C.,Valor medio,2,788500.0,1577000.0,78850.0
1LJKQX0OTN,2020-12-01,Servicios,Bogotá D.C.,Valor medio,1,2000.0,2000.0,100.0
1LPWV3VHIG,2021-03-01,Reparación y limpieza,Bogotá D.C.,Valor medio-alto,2,339266.6666666667,678533.3333333334,33926.66666666667
1LPWV3VHIG,2021-04-01,Reparación y limpieza,Bogotá D.C.,Valor medio-alto,4,339266.6666666667,1357066.6666666667,67853.33333333334
1LZW76ZGZF,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,6,146121.21212121213,876727.2727272727,43836.36363636364
1LZW76ZGZF,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,23,146121.21212121213,3360787.878787879,168039.39393939395
1LZW76ZGZF,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,37,146121.21212121213,5406484.848484849,270324.24242424243
1NBQOVPEDC,2021-03-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,6,68333.33333333333,410000.0,20500.0
1NBQOVPEDC,2021-04-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,4,68333.33333333333,273333.3333333333,13666.666666666666
1NBQOVPEDC,2021-05-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,5,68333.33333333333,341666.6666666666,17083.333333333332
1NG9C7IRS1,2021-03-01,Servicios,Bogotá D.C.,Valor medio-alto,6,116145.83333333333,696875.0,34843.75
1NG9C7IRS1,2021-04-01,Servicios,Bogotá D.C.,Valor medio-alto,3,116145.83333333333,348437.5,17421.875
1NG9C7IRS1,2021-05-01,Servicios,Bogotá D.C.,Valor medio-alto,3,116145.83333333333,348437.5,17421.875
